"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25461","Guest user tried to view stores in list view by granting location permission","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:42:56 GMT 2025","passed","Thu Mar 27 06:43:22 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","storeListViewWithStoresAvailableTest"
"Guest user is able to see INGO logo","5363","Guest user is able to see INGO logo","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:43:47 GMT 2025","passed","Thu Mar 27 06:43:52 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","guestUserIsAbleToSeeIngoLogo"
"Background task that logs the user into the INGO application","138636","BACKGROUND: Log in as a car wash user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:00:53 GMT 2025","passed","Thu Mar 27 07:03:12 GMT 2025","testcases.CarWashTest","GMAP INGO Tests | Car Wash","testcases.CarWashTest","logInAsACarWashTestUser"
"Registered user is able to see INGO logo","132379","Registered user is able to see INGO logo","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:02:41 GMT 2025","passed","Thu Mar 27 07:04:54 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","registeredUserIsAbleToSeeIngoLogo"
"New user tries to sign-up via email","197408","New user tries to sign-up via email","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:59:12 GMT 2025","passed","Thu Mar 27 07:02:29 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","newUserTriesToSignUpViaEmailFromOnboarding"
"User tries to view Transactions List","36504","User tries to view the transactions history screen when there are No Transactions for the selected month","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:50:50 GMT 2025","passed","Thu Mar 27 06:51:27 GMT 2025","testcases.TransactionDetailsTest","GMAP INGO Tests | Transaction details","testcases.TransactionDetailsTest","checkTransactionsHistoryWithNoTransactionsInMonthTest"
"Guest user cannot see the fuel widget","13612","Guest user cannot see the fuel widget","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:44:06 GMT 2025","passed","Thu Mar 27 06:44:19 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","guestUserCannotSeeTheFuelWidget"
"INGO User sign in via email and password","133866","INGO User Sign in using Email and password","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:19:39 GMT 2025","passed","Thu Mar 27 07:21:53 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","ingoUserSignIntoAppUsingEmailAndPassword"
"Account tab does have indo.dk links for guest user","69323","Account tab does have indo.dk links for guest user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:54:39 GMT 2025","passed","Thu Mar 27 06:55:49 GMT 2025","testcases.TransactionDetailsTest","GMAP INGO Tests | Transaction details","testcases.TransactionDetailsTest","verifySocialLinksNotForGuestUser"
"GMAP user accepts ingo terms while signing  into  INGO app","91488","GMAP user needs to accept ingo privacy terms for signing into INGO app","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:22:24 GMT 2025","passed","Thu Mar 27 07:23:55 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","gmapSEUserTriesToSignInToIngoAppAndAcceptsIngoTerms"
"","52221","User verify store details screen to show the store information","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:45:14 GMT 2025","passed","Thu Mar 27 06:46:07 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userVerifyTheDetailsDisplayedOnStoreLocatorScreen"
"User can download the invoice for their purchases","43192","User close or cancel the Download popup","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:44:35 GMT 2025","passed","Thu Mar 27 06:45:19 GMT 2025","testcases.InvoiceTest","GMAP INGO Tests | Invoices","testcases.InvoiceTest","userTriesToCloseOrCancelDownloadPopup"
"As a user, I want to see a synopsis of my fuel savings, so that I can keep track of my savings","152925","As a user, I want to see a synopsis of my fuel savings, so that I can keep track of my savings.","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:06:00 GMT 2025","passed","Thu Mar 27 07:08:33 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","checkYourSavingWidget"
"Move sign in/sign up button as per the figma designs","10583","User validate sign in and sign up button for login and guest user ","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:08:52 GMT 2025","passed","Thu Mar 27 07:09:02 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","checkSignInSignUpButtonForLoginUser"
"User with First name having special Char is showing on header after login","141057"," validate first name on Dashboard after login","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:58:02 GMT 2025","failed","Thu Mar 27 07:00:23 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","validateSpecialCharFirstNameOfLogInUser"
"Updated Wallet Screen with info","29670","Verify if the user is seeing Updated Wallet Screen with info","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:06:32 GMT 2025","broken","Thu Mar 27 07:07:02 GMT 2025","testcases.AccountTests","GMAP INGO Tests | Account","testcases.AccountTests","verifyCardsInfoButtonInformation"
"","209430","Verify the fuel types as filter for Store locator functionality with Danish User","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:08:47 GMT 2025","passed","Thu Mar 27 07:12:17 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userTriesToFilterFuelTypesForStoreLocatorDanishUser"
"","100357","No stores found in user location and selected area","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:53:15 GMT 2025","passed","Thu Mar 27 06:54:55 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userVerifyErrorMessageWithNoStoresInSelectedArea"
"SE New user sign up via phone number on first/clean app run","217486","SE New user sign up via phone number on first/clean app run","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:11:33 GMT 2025","passed","Thu Mar 27 07:15:11 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","newUserSignUpViaPhoneNumberForSweden"
"New user sign up via phone number on first/clean app run","219755","New user sign up via phone number on first/clean app run","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:03:04 GMT 2025","passed","Thu Mar 27 07:06:44 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","newUserSignUpViaPhoneNumber"
"user taps on a transaction from the list","26461","User should be taken to the Transaction details screen with the selected transaction's detailed information","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:53:10 GMT 2025","passed","Thu Mar 27 06:53:37 GMT 2025","testcases.TransactionDetailsTest","GMAP INGO Tests | Transaction details","testcases.TransactionDetailsTest","checkTransactionDetailScreenIsDisplayed"
"Validate different component for guest user on home page","20414","Dashboard for guest user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:44:33 GMT 2025","passed","Thu Mar 27 06:44:53 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","validateDashboardForGuestUser"
"User previews invoice menu without transactions","20384","User tries to download the Invoices in Account Section","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:43:57 GMT 2025","passed","Thu Mar 27 06:44:17 GMT 2025","testcases.InvoiceTest","GMAP INGO Tests | Invoices","testcases.InvoiceTest","downloadInvoices"
"[Ingo][Greeting Header Widget]Verify Header Component with short user name","138765","Verify Header Component with short user name after login","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:51:45 GMT 2025","passed","Thu Mar 27 06:54:04 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","validateShortNameShowingOnHeaderAfterLogin"
"User Sign-in to IngoApp using Email and OTP","101194","User Sign-in to IngoApp using Email and OTP","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:28:51 GMT 2025","passed","Thu Mar 27 07:30:32 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","ingoUserSignIntoAppUsingEmailAndOTP"
"","84879","Guest user tried to view stores in map view by granting location permission","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:40:40 GMT 2025","passed","Thu Mar 27 06:42:04 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","clickOnUseYourCurrentLocationOption"
"Account tab does have links to social media for login user","35409","Account tab does have links to social media for login user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:53:50 GMT 2025","passed","Thu Mar 27 06:54:26 GMT 2025","testcases.TransactionDetailsTest","GMAP INGO Tests | Transaction details","testcases.TransactionDetailsTest","verifySocialLinksForLoginUser"
